,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown
Strategy (Max Sharpe),0.11640235117836495,0.11308489682639888,0.06477737081462916,1.6865214984712953,-0.04913345097367261
Benchmark (60/40),0.1420690936968163,0.13797605926898027,0.07962892464622968,1.6632555227843722,-0.05817562975030344
